DATETIME,alt(km),lat(deg),lon(deg)
2019-07-31 00:49:00,7914.0974,-37.11997,174.043142
2019-07-31 00:54:00,7617.53141,-34.424152,180.223301
2019-07-31 00:59:00,7331.56567,-31.166537,186.190169
2019-07-31 01:04:00,7060.89588,-27.375078,191.920349
2019-07-31 01:09:00,6810.5103,-23.089994,197.418711
2019-07-31 01:14:00,6585.55139,-18.36309,202.71365
2019-07-31 01:19:00,6391.12006,-13.257737,207.851761
2019-07-31 01:24:00,6232.02629,-7.84924,212.893176
2019-07-31 01:29:00,6112.5023,-2.225111,217.908058
2019-07-31 01:34:00,6035.90809,3.515246,222.974121
2019-07-31 01:39:00,6004.46979,9.261745,228.174668
2019-07-31 01:44:00,6019.09381,14.895809,233.596312
2019-07-31 01:49:00,6079.29068,20.293423,239.325249
2019-07-31 01:54:00,6183.22273,25.328882,245.440676
2019-07-31 01:59:00,6327.86575,29.879321,252.003981
2019-07-31 02:04:00,6509.25402,33.830435,259.043134
2019-07-31 02:09:00,6722.76702,37.08405,266.534187
2019-07-31 02:14:00,6963.41691,39.567584,274.385963
2019-07-31 02:19:00,7226.10503,41.243929,282.437675
2019-07-31 02:24:00,7505.82902,42.118359,290.477644
2019-07-31 02:29:00,7797.83407,42.2386,298.281336
2019-07-31 02:34:00,8097.71161,41.686623,305.654344
2019-07-31 02:39:00,8401.45335,40.564649,312.462337
2019-07-31 02:44:00,8705.47096,38.980274,318.639161
2019-07-31 02:49:00,9006.59128,37.03488,324.176941
2019-07-31 02:54:00,9302.03548,34.816907,329.108117
2019-07-31 02:59:00,9589.38883,32.399433,333.487772
2019-07-31 03:04:00,9866.56601,29.840565,337.380251
2019-07-31 03:09:00,10131.77526,27.185255,340.85065
2019-07-31 03:14:00,10383.48351,24.467579,343.960185
2019-07-31 03:19:00,10620.38382,21.712957,346.764158
2019-07-31 03:24:00,10841.36587,18.940093,349.311449
2019-07-31 03:29:00,11045.48956,16.162558,351.644814
2019-07-31 03:34:00,11231.96195,13.390057,353.80156
2019-07-31 03:39:00,11400.11726,10.629405,355.814344
2019-07-31 03:44:00,11549.39976,7.885293,357.711966
2019-07-31 03:49:00,11679.34932,5.160875,359.520113
2019-07-31 03:54:00,11789.58925,2.458218,1.262029
